377.972	48.1366	385.618	48.0378
400.105	60.2126	412.126	56.2688
577.063	64.5053	591.363	41.796
589.216	66.913	603.753	43.1493
620.461	68.4169	639.46	40.3196
597.236	71.5977	613.055	47.6524
360.309	74.207	364.383	76.437
866.139	89.674	914.257	31.4808
871.679	93.3252	920.152	35.7282
859.122	94.1325	907.145	35.6816
865.423	99.3605	914.865	42.21
881.502	99.8152	932.706	40.6454
909.603	122.179	965.038	60.9123
493.235	142.24	426.879	130.999
502.107	143.909	434.944	131.468
819.106	144.217	857.12	95.0157
534.127	145.381	469.185	129.743
577.412	144.605	508.388	124.776
730.98	148.368	759.226	108.438
526.303	149.236	461.904	134.984
548.4	148.901	481.558	131.814
656.061	153.192	599.633	124.738
473.816	169.572	406.002	159.66
756.949	179.372	788.239	141
506.094	181.951	435.876	167.887
501.279	187.941	431.115	174.183
638.954	191.071	577.873	165.124
605.392	192.078	540.87	168.917
535.921	193.926	466.253	177.044
448.625	197.395	380.396	189.068
640.758	203.453	578.828	176.814
553.509	210.383	484.973	191.136
824.065	209.63	861.715	163.415
699.858	217.469	643.399	186.111
581.384	218.029	513.767	197.448
32.3748	219.034	52.1459	243.005
594.975	226.215	529.234	203.813
45.3636	227.205	67.146	249.08
454.854	227.838	388.045	218.188
770.906	228.212	801.082	188.132
21.2594	230.164	35.5003	260.246
533.768	230.226	463.723	213.427
435.329	231.724	373.768	222.041
640.204	234.603	578.638	208.297
590.079	239.071	524.54	217.703
504.832	242.506	437.348	228.192
634.37	245.983	571.609	220.19
367.923	247.886	319.661	243.947
824.128	248.285	860.605	203.527
482.166	249.238	419.15	236.138
618.604	250.39	554.281	226.425
508.287	250.986	445.619	236.071
378.448	252.901	329.246	247.609
604.462	252.58	539.673	230.139
675.872	254.999	618.352	226.123
650.988	257.462	592.41	231.062
798.561	261.937	831.399	220.594
567.871	263.384	503.297	243.054
660.098	264.002	606.976	235.043
515.165	264.722	451.287	248.219
575.962	264.918	510.762	244.344
609.053	264.656	545.437	240.056
426.944	265.788	371.854	256.883
555.226	268.097	493.196	249.642
413.294	269.79	359.779	261.614
490.17	270.003	427.6	256.079
625.621	274.437	565.557	251.058
578.635	275.866	515.437	254.865
830.962	279.152	868.628	235.53
386.938	282.097	337.379	275.141
517.192	282.04	453.621	265.917
77.8744	282.602	96.3251	296.759
508.924	283.932	444.876	268.708
467.926	287.947	406.325	276.082
394.635	289.244	343.909	281
662.07	292.032	607.91	264.066
93.3404	292.72	109.244	305.735
451.077	293.793	392.979	282.075
854.657	294.38	895.824	249.007
872.845	293.566	918.097	246.803
642.754	296.328	586.107	271.923
651.585	297.011	596.159	270.3
640.816	298.64	586.107	271.923
880.315	299.042	927.635	251.936
625.591	301.75	571.005	276.852
355.039	302.574	305.767	297.633
647.667	302.866	593.058	276.1
341.792	304.988	293.847	300.688
672.439	306.176	617.678	277.223
908.213	305.724	959.257	257.832
456.151	309.186	397.105	296.316
423.009	310.199	371.937	300.847
638.1	309.886	583.779	283.979
458.024	310.596	397.105	296.316
416.765	312.334	366.264	302.625
279.791	315.138	268.12	314.787
487.224	316.112	427.203	301.915
633.581	315.951	579.924	290.397
340.835	317.616	296.21	312.751
